N° OF;Centre de charge;Code article;Désignation;Client;Qté à lancer;Qté déclarée;Date début prévue;Date fin prévue;Date début réelle;Date fin réelle;Statut OF;Priorité
OF250238;LU-02 Usinage;ART-51210;Support moteur S12;TECHNOFORGE;4320;4312;17/11/2025;20/11/2025;17/11/2025;20/11/2025;Soldé;Urgente
OF250245;LC-03 Conditionnement;ART-62600;Kit conditionné K6;AUTOMOTIVE SA;9720;9708;17/11/2025;21/11/2025;17/11/2025;21/11/2025;Soldé;Normale
OF250252;LA-01 Assemblage;ART-40120;Carter aluminium A20;NORDIC MACHINES;9000;8984;18/11/2025;19/11/2025;18/11/2025;20/11/2025;Soldé;Normale
OF250259;LU-02 Usinage;ART-51810;Support moteur S18;GROUPE VALTEC;4950;4930;19/11/2025;21/11/2025;19/11/2025;21/11/2025;Soldé;Normale
OF250266;LC-03 Conditionnement;ART-62400;Kit conditionné K4;SIDER INDUSTRIE;15840;15816;20/11/2025;24/11/2025;20/11/2025;24/11/2025;Soldé;Haute
OF250273;LA-01 Assemblage;ART-40130;Carter aluminium A30;MECAPLUS;9750;9722;21/11/2025;25/11/2025;21/11/2025;25/11/2025;Soldé;Urgente
OF250280;LU-02 Usinage;ART-51210;Support moteur S12;ATLANTIQUE EQUIP.;2160;2160;24/11/2025;25/11/2025;24/11/2025;25/11/2025;Soldé;Normale
OF250287;LC-03 Conditionnement;ART-62600;Kit conditionné K6;TECHNOFORGE;5400;5396;24/11/2025;26/11/2025;24/11/2025;26/11/2025;Soldé;Normale
OF250294;LA-01 Assemblage;ART-40120;Carter aluminium A20;AUTOMOTIVE SA;5400;5392;25/11/2025;28/11/2025;25/11/2025;29/11/2025;Soldé;Normale
OF250301;LU-02 Usinage;ART-51810;Support moteur S18;NORDIC MACHINES;3150;3138;26/11/2025;01/12/2025;26/11/2025;01/12/2025;Soldé;Haute
OF250308;LC-03 Conditionnement;ART-62400;Kit conditionné K4;GROUPE VALTEC;10560;10544;27/11/2025;28/11/2025;27/11/2025;28/11/2025;Soldé;Urgente
OF250315;LA-01 Assemblage;ART-40130;Carter aluminium A30;SIDER INDUSTRIE;6750;6730;28/11/2025;01/12/2025;28/11/2025;01/12/2025;Soldé;Normale
OF250322;LU-02 Usinage;ART-51210;Support moteur S12;MECAPLUS;5400;5376;01/12/2025;04/12/2025;01/12/2025;04/12/2025;Soldé;Normale
OF250329;LC-03 Conditionnement;ART-62600;Kit conditionné K6;ATLANTIQUE EQUIP.;11880;11852;01/12/2025;05/12/2025;01/12/2025;05/12/2025;Soldé;Normale
OF250336;LA-01 Assemblage;ART-40120;Carter aluminium A20;TECHNOFORGE;10800;10800;01/12/2025;02/12/2025;01/12/2025;03/12/2025;Soldé;Haute
OF250343;LU-02 Usinage;ART-51810;Support moteur S18;AUTOMOTIVE SA;5850;5846;02/12/2025;04/12/2025;02/12/2025;04/12/2025;Soldé;Urgente
OF250350;LC-03 Conditionnement;ART-62400;Kit conditionné K4;NORDIC MACHINES;5280;5272;03/12/2025;08/12/2025;03/12/2025;08/12/2025;Soldé;Normale
OF250357;LA-01 Assemblage;ART-40130;Carter aluminium A30;GROUPE VALTEC;3750;3738;04/12/2025;08/12/2025;04/12/2025;08/12/2025;Soldé;Normale
OF250364;LU-02 Usinage;ART-51210;Support moteur S12;SIDER INDUSTRIE;3240;3224;05/12/2025;08/12/2025;05/12/2025;08/12/2025;Soldé;Normale
OF250371;LC-03 Conditionnement;ART-62600;Kit conditionné K6;MECAPLUS;7560;7540;08/12/2025;10/12/2025;08/12/2025;10/12/2025;Soldé;Haute
OF250378;LA-01 Assemblage;ART-40120;Carter aluminium A20;ATLANTIQUE EQUIP.;7200;7176;08/12/2025;11/12/2025;08/12/2025;12/12/2025;Soldé;Urgente
OF250385;LU-02 Usinage;ART-51810;Support moteur S18;TECHNOFORGE;4050;4022;08/12/2025;12/12/2025;08/12/2025;12/12/2025;Soldé;Normale
OF250392;LC-03 Conditionnement;ART-62400;Kit conditionné K4;AUTOMOTIVE SA;13200;13200;10/12/2025;11/12/2025;10/12/2025;11/12/2025;Soldé;Normale
OF250399;LA-01 Assemblage;ART-40130;Carter aluminium A30;NORDIC MACHINES;8250;8246;11/12/2025;15/12/2025;11/12/2025;15/12/2025;Soldé;Normale
OF250406;LU-02 Usinage;ART-51210;Support moteur S12;GROUPE VALTEC;6480;6472;12/12/2025;15/12/2025;12/12/2025;15/12/2025;Soldé;Haute
OF250413;LC-03 Conditionnement;ART-62600;Kit conditionné K6;SIDER INDUSTRIE;14040;14028;15/12/2025;19/12/2025;15/12/2025;19/12/2025;Soldé;Urgente
OF250420;LA-01 Assemblage;ART-40120;Carter aluminium A20;MECAPLUS;3600;3584;15/12/2025;16/12/2025;15/12/2025;17/12/2025;Soldé;Normale
OF250427;LU-02 Usinage;ART-51810;Support moteur S18;ATLANTIQUE EQUIP.;2250;2230;15/12/2025;17/12/2025;15/12/2025;17/12/2025;Soldé;Normale
OF250434;LC-03 Conditionnement;ART-62400;Kit conditionné K4;TECHNOFORGE;7920;7896;16/12/2025;19/12/2025;16/12/2025;19/12/2025;Soldé;Normale
OF250441;LA-01 Assemblage;ART-40130;Carter aluminium A30;AUTOMOTIVE SA;5250;5222;17/12/2025;22/12/2025;17/12/2025;22/12/2025;Soldé;Haute
OF250448;LU-02 Usinage;ART-51210;Support moteur S12;NORDIC MACHINES;4320;4320;18/12/2025;19/12/2025;18/12/2025;19/12/2025;Soldé;Urgente
OF250455;LC-03 Conditionnement;ART-62600;Kit conditionné K6;GROUPE VALTEC;9720;9716;19/12/2025;22/12/2025;19/12/2025;22/12/2025;Soldé;Normale
OF250462;LA-01 Assemblage;ART-40120;Carter aluminium A20;SIDER INDUSTRIE;9000;8992;22/12/2025;25/12/2025;22/12/2025;26/12/2025;Soldé;Normale
OF250469;LU-02 Usinage;ART-51810;Support moteur S18;MECAPLUS;4950;4938;22/12/2025;26/12/2025;22/12/2025;26/12/2025;Soldé;Normale
OF250476;LC-03 Conditionnement;ART-62400;Kit conditionné K4;ATLANTIQUE EQUIP.;15840;15824;22/12/2025;23/12/2025;22/12/2025;23/12/2025;Soldé;Haute
OF250483;LA-01 Assemblage;ART-40130;Carter aluminium A30;TECHNOFORGE;9750;9730;24/12/2025;26/12/2025;24/12/2025;26/12/2025;Soldé;Urgente
OF250490;LU-02 Usinage;ART-51210;Support moteur S12;AUTOMOTIVE SA;2160;2136;25/12/2025;29/12/2025;25/12/2025;29/12/2025;Soldé;Normale
OF250497;LC-03 Conditionnement;ART-62600;Kit conditionné K6;NORDIC MACHINES;5400;5372;26/12/2025;30/12/2025;26/12/2025;30/12/2025;Soldé;Normale
OF250504;LA-01 Assemblage;ART-40120;Carter aluminium A20;GROUPE VALTEC;5400;5400;29/12/2025;30/12/2025;29/12/2025;31/12/2025;Soldé;Normale
OF250511;LU-02 Usinage;ART-51810;Support moteur S18;SIDER INDUSTRIE;3150;3146;29/12/2025;31/12/2025;29/12/2025;31/12/2025;Soldé;Haute
OF250518;LC-03 Conditionnement;ART-62400;Kit conditionné K4;MECAPLUS;10560;10552;29/12/2025;01/01/2026;29/12/2025;01/01/2026;Soldé;Urgente
OF250525;LA-01 Assemblage;ART-40130;Carter aluminium A30;ATLANTIQUE EQUIP.;6750;6738;30/12/2025;05/01/2026;30/12/2025;05/01/2026;Soldé;Normale
OF250532;LU-02 Usinage;ART-51210;Support moteur S12;TECHNOFORGE;5400;5384;31/12/2025;01/01/2026;31/12/2025;01/01/2026;Soldé;Normale
OF250539;LC-03 Conditionnement;ART-62600;Kit conditionné K6;AUTOMOTIVE SA;11880;11860;01/01/2026;05/01/2026;01/01/2026;05/01/2026;Soldé;Normale
OF250546;LA-01 Assemblage;ART-40120;Carter aluminium A20;NORDIC MACHINES;10800;10776;02/01/2026;05/01/2026;02/01/2026;06/01/2026;Soldé;Haute
OF250553;LU-02 Usinage;ART-51810;Support moteur S18;GROUPE VALTEC;5850;5822;05/01/2026;09/01/2026;05/01/2026;09/01/2026;Soldé;Urgente
OF250560;LC-03 Conditionnement;ART-62400;Kit conditionné K4;SIDER INDUSTRIE;5280;5280;05/01/2026;06/01/2026;05/01/2026;06/01/2026;Soldé;Normale
OF250567;LA-01 Assemblage;ART-40130;Carter aluminium A30;MECAPLUS;3750;3746;05/01/2026;07/01/2026;05/01/2026;07/01/2026;Soldé;Normale
OF251225;LU-02 Usinage;ART-51810;Support moteur S18;AUTOMOTIVE SA;4050;1215;05/01/2026;09/01/2026;05/01/2026;;En cours;Normale
OF251232;LC-03 Conditionnement;ART-62400;Kit conditionné K4;NORDIC MACHINES;13200;5412;05/01/2026;06/01/2026;05/01/2026;;En cours;Normale
OF250574;LU-02 Usinage;ART-51210;Support moteur S12;ATLANTIQUE EQUIP.;3240;3232;06/01/2026;09/01/2026;06/01/2026;09/01/2026;Soldé;Normale
OF251239;LA-01 Assemblage;ART-40130;Carter aluminium A30;GROUPE VALTEC;8250;4290;07/01/2026;09/01/2026;07/01/2026;;En cours;Normale
OF250581;LC-03 Conditionnement;ART-62600;Kit conditionné K6;TECHNOFORGE;7560;7548;08/01/2026;12/01/2026;08/01/2026;12/01/2026;Soldé;Haute
OF250588;LA-01 Assemblage;ART-40120;Carter aluminium A20;AUTOMOTIVE SA;7200;7184;09/01/2026;12/01/2026;09/01/2026;13/01/2026;Soldé;Urgente
OF251246;LU-02 Usinage;ART-51210;Support moteur S12;SIDER INDUSTRIE;6480;4082;09/01/2026;12/01/2026;09/01/2026;;En cours;Haute
OF250595;LU-02 Usinage;ART-51810;Support moteur S18;NORDIC MACHINES;4050;4030;12/01/2026;14/01/2026;12/01/2026;14/01/2026;Soldé;Normale
OF250602;LC-03 Conditionnement;ART-62400;Kit conditionné K4;GROUPE VALTEC;13200;13176;12/01/2026;15/01/2026;12/01/2026;15/01/2026;Soldé;Normale
OF250609;LA-01 Assemblage;ART-40130;Carter aluminium A30;SIDER INDUSTRIE;8250;8222;12/01/2026;16/01/2026;12/01/2026;16/01/2026;Soldé;Normale
OF251253;LC-03 Conditionnement;ART-62600;Kit conditionné K6;MECAPLUS;14040;10389;12/01/2026;16/01/2026;12/01/2026;;En cours;Urgente
OF250616;LU-02 Usinage;ART-51210;Support moteur S12;MECAPLUS;6480;6480;13/01/2026;14/01/2026;13/01/2026;14/01/2026;Soldé;Haute
OF251260;LA-01 Assemblage;ART-40120;Carter aluminium A20;ATLANTIQUE EQUIP.;3600;900;13/01/2026;14/01/2026;13/01/2026;;En cours;Normale
OF250623;LC-03 Conditionnement;ART-62600;Kit conditionné K6;ATLANTIQUE EQUIP.;14040;14036;14/01/2026;16/01/2026;14/01/2026;16/01/2026;Soldé;Urgente
OF250630;LA-01 Assemblage;ART-40120;Carter aluminium A20;TECHNOFORGE;3600;3592;15/01/2026;19/01/2026;15/01/2026;20/01/2026;Soldé;Normale
OF251267;LU-02 Usinage;ART-51810;Support moteur S18;TECHNOFORGE;2250;810;15/01/2026;19/01/2026;15/01/2026;;En cours;Normale
OF250637;LU-02 Usinage;ART-51810;Support moteur S18;AUTOMOTIVE SA;2250;2238;16/01/2026;20/01/2026;16/01/2026;20/01/2026;Soldé;Normale
OF250679;LU-02 Usinage;ART-51810;Support moteur S18;TECHNOFORGE;4950;2623;16/01/2026;19/01/2026;16/01/2026;;En cours;Normale
OF250686;LC-03 Conditionnement;ART-62400;Kit conditionné K4;AUTOMOTIVE SA;15840;11404;16/01/2026;19/01/2026;16/01/2026;;En cours;Haute
OF250644;LC-03 Conditionnement;ART-62400;Kit conditionné K4;NORDIC MACHINES;7920;7904;19/01/2026;20/01/2026;19/01/2026;20/01/2026;Soldé;Normale
OF250651;LA-01 Assemblage;ART-40130;Carter aluminium A30;GROUPE VALTEC;5250;5230;19/01/2026;21/01/2026;19/01/2026;21/01/2026;Soldé;Haute
OF250658;LU-02 Usinage;ART-51210;Support moteur S12;SIDER INDUSTRIE;4320;4296;19/01/2026;22/01/2026;19/01/2026;22/01/2026;Soldé;Urgente
OF250693;LA-01 Assemblage;ART-40130;Carter aluminium A30;NORDIC MACHINES;9750;1560;19/01/2026;23/01/2026;19/01/2026;;En cours;Urgente
OF250700;LU-02 Usinage;ART-51210;Support moteur S12;GROUPE VALTEC;2160;756;19/01/2026;20/01/2026;19/01/2026;;En cours;Normale
OF250707;LC-03 Conditionnement;ART-62600;Kit conditionné K6;SIDER INDUSTRIE;5400;2916;19/01/2026;21/01/2026;19/01/2026;;En cours;Normale
OF250714;LA-01 Assemblage;ART-40120;Carter aluminium A20;MECAPLUS;5400;3942;19/01/2026;22/01/2026;19/01/2026;;En cours;Normale
OF251274;LC-03 Conditionnement;ART-62400;Kit conditionné K4;AUTOMOTIVE SA;7920;3722;19/01/2026;22/01/2026;19/01/2026;;En cours;Normale
OF251281;LA-01 Assemblage;ART-40130;Carter aluminium A30;NORDIC MACHINES;5250;3045;19/01/2026;23/01/2026;19/01/2026;;En cours;Haute
OF250665;LC-03 Conditionnement;ART-62600;Kit conditionné K6;MECAPLUS;9720;9692;20/01/2026;26/01/2026;20/01/2026;26/01/2026;Soldé;Normale
OF250721;LU-02 Usinage;ART-51810;Support moteur S18;ATLANTIQUE EQUIP.;3150;535;20/01/2026;26/01/2026;20/01/2026;;En cours;Haute
OF250728;LC-03 Conditionnement;ART-62400;Kit conditionné K4;TECHNOFORGE;10560;3801;21/01/2026;22/01/2026;21/01/2026;;En cours;Urgente
OF251288;LU-02 Usinage;ART-51210;Support moteur S12;GROUPE VALTEC;4320;2980;21/01/2026;22/01/2026;21/01/2026;;En cours;Urgente
OF250672;LA-01 Assemblage;ART-40120;Carter aluminium A20;ATLANTIQUE EQUIP.;9000;9000;22/01/2026;23/01/2026;22/01/2026;24/01/2026;Soldé;Normale
OF250735;LA-01 Assemblage;ART-40130;Carter aluminium A30;AUTOMOTIVE SA;6750;3712;22/01/2026;26/01/2026;22/01/2026;;En cours;Normale
OF250742;LU-02 Usinage;ART-51210;Support moteur S12;NORDIC MACHINES;5400;3996;22/01/2026;26/01/2026;22/01/2026;;En cours;Normale
OF250749;LC-03 Conditionnement;ART-62600;Kit conditionné K6;GROUPE VALTEC;11880;2138;23/01/2026;27/01/2026;23/01/2026;;En cours;Normale
OF251295;LC-03 Conditionnement;ART-62600;Kit conditionné K6;SIDER INDUSTRIE;9720;7776;23/01/2026;26/01/2026;23/01/2026;;En cours;Normale
OF250756;LA-01 Assemblage;ART-40120;Carter aluminium A20;SIDER INDUSTRIE;10800;3996;26/01/2026;27/01/2026;26/01/2026;;En cours;Haute
OF250763;LU-02 Usinage;ART-51810;Support moteur S18;MECAPLUS;5850;3276;26/01/2026;28/01/2026;26/01/2026;;En cours;Urgente
OF250770;LC-03 Conditionnement;ART-62400;Kit conditionné K4;ATLANTIQUE EQUIP.;5280;3960;26/01/2026;29/01/2026;26/01/2026;;En cours;Normale
OF250777;LA-01 Assemblage;ART-40130;Carter aluminium A30;TECHNOFORGE;3750;712;26/01/2026;30/01/2026;26/01/2026;;En cours;Normale
OF251302;LA-01 Assemblage;ART-40120;Carter aluminium A20;MECAPLUS;9000;2790;26/01/2026;29/01/2026;26/01/2026;;En cours;Normale
OF250784;LU-02 Usinage;ART-51210;Support moteur S12;AUTOMOTIVE SA;3240;1231;27/01/2026;28/01/2026;27/01/2026;;En cours;Normale
OF251309;LU-02 Usinage;ART-51810;Support moteur S18;ATLANTIQUE EQUIP.;4950;2079;27/01/2026;02/02/2026;27/01/2026;;En cours;Normale
OF250791;LC-03 Conditionnement;ART-62600;Kit conditionné K6;NORDIC MACHINES;7560;4309;28/01/2026;30/01/2026;28/01/2026;;En cours;Haute
OF250798;LA-01 Assemblage;ART-40120;Carter aluminium A20;GROUPE VALTEC;7200;5472;28/01/2026;02/02/2026;28/01/2026;;En cours;Urgente
OF250805;LU-02 Usinage;ART-51810;Support moteur S18;SIDER INDUSTRIE;4050;810;29/01/2026;02/02/2026;29/01/2026;;En cours;Normale
OF251316;LC-03 Conditionnement;ART-62400;Kit conditionné K4;TECHNOFORGE;15840;8395;29/01/2026;30/01/2026;29/01/2026;;En cours;Haute
OF250812;LC-03 Conditionnement;ART-62400;Kit conditionné K4;MECAPLUS;13200;5148;30/01/2026;02/02/2026;30/01/2026;;En cours;Normale
OF250819;LA-01 Assemblage;ART-40130;Carter aluminium A30;ATLANTIQUE EQUIP.;8250;4785;02/02/2026;04/02/2026;30/01/2026;;En cours;Normale
OF250826;LU-02 Usinage;ART-51210;Support moteur S12;TECHNOFORGE;6480;4989;02/02/2026;05/02/2026;30/01/2026;;En cours;Haute
OF250833;LC-03 Conditionnement;ART-62600;Kit conditionné K6;AUTOMOTIVE SA;14040;2948;02/02/2026;06/02/2026;30/01/2026;;En cours;Urgente
OF250840;LA-01 Assemblage;ART-40120;Carter aluminium A20;NORDIC MACHINES;3600;1440;02/02/2026;03/02/2026;30/01/2026;;En cours;Normale
OF250861;LA-01 Assemblage;ART-40130;Carter aluminium A30;MECAPLUS;5250;0;02/02/2026;06/02/2026;;;Planifié;Haute
OF250847;LU-02 Usinage;ART-51810;Support moteur S18;GROUPE VALTEC;2250;1327;03/02/2026;05/02/2026;30/01/2026;;En cours;Normale
OF250868;LU-02 Usinage;ART-51210;Support moteur S12;ATLANTIQUE EQUIP.;4320;0;03/02/2026;04/02/2026;;;Planifié;Urgente
OF250854;LC-03 Conditionnement;ART-62400;Kit conditionné K4;SIDER INDUSTRIE;7920;6177;04/02/2026;09/02/2026;30/01/2026;;En cours;Normale
OF250875;LC-03 Conditionnement;ART-62600;Kit conditionné K6;TECHNOFORGE;9720;0;04/02/2026;06/02/2026;;;Planifié;Normale
OF250882;LA-01 Assemblage;ART-40120;Carter aluminium A20;AUTOMOTIVE SA;9000;0;05/02/2026;09/02/2026;;;Planifié;Normale
OF250889;LU-02 Usinage;ART-51810;Support moteur S18;NORDIC MACHINES;4950;0;06/02/2026;10/02/2026;;;Planifié;Normale
OF250896;LC-03 Conditionnement;ART-62400;Kit conditionné K4;GROUPE VALTEC;15840;0;09/02/2026;10/02/2026;;;Planifié;Haute
OF250903;LA-01 Assemblage;ART-40130;Carter aluminium A30;SIDER INDUSTRIE;9750;0;09/02/2026;11/02/2026;;;Planifié;Urgente
OF250910;LU-02 Usinage;ART-51210;Support moteur S12;MECAPLUS;2160;0;09/02/2026;12/02/2026;;;Planifié;Normale
OF250917;LC-03 Conditionnement;ART-62600;Kit conditionné K6;ATLANTIQUE EQUIP.;5400;0;10/02/2026;16/02/2026;;;Planifié;Normale
OF250924;LA-01 Assemblage;ART-40120;Carter aluminium A20;TECHNOFORGE;5400;0;11/02/2026;12/02/2026;;;Planifié;Normale
OF250931;LU-02 Usinage;ART-51810;Support moteur S18;AUTOMOTIVE SA;3150;0;12/02/2026;16/02/2026;;;Planifié;Haute
OF250938;LC-03 Conditionnement;ART-62400;Kit conditionné K4;NORDIC MACHINES;10560;0;13/02/2026;16/02/2026;;;Planifié;Urgente
OF250945;LA-01 Assemblage;ART-40130;Carter aluminium A30;GROUPE VALTEC;6750;0;16/02/2026;20/02/2026;;;Planifié;Normale
OF250952;LU-02 Usinage;ART-51210;Support moteur S12;SIDER INDUSTRIE;5400;0;16/02/2026;17/02/2026;;;Planifié;Normale
OF250959;LC-03 Conditionnement;ART-62600;Kit conditionné K6;MECAPLUS;11880;0;17/02/2026;19/02/2026;;;Planifié;Normale
OF250966;LA-01 Assemblage;ART-40120;Carter aluminium A20;ATLANTIQUE EQUIP.;10800;0;18/02/2026;23/02/2026;;;Planifié;Haute
OF250973;LU-02 Usinage;ART-51810;Support moteur S18;TECHNOFORGE;5850;0;19/02/2026;23/02/2026;;;Planifié;Urgente
OF250980;LC-03 Conditionnement;ART-62400;Kit conditionné K4;AUTOMOTIVE SA;5280;0;20/02/2026;23/02/2026;;;Planifié;Normale
OF250987;LA-01 Assemblage;ART-40130;Carter aluminium A30;NORDIC MACHINES;3750;0;23/02/2026;25/02/2026;;;Planifié;Normale
OF250994;LU-02 Usinage;ART-51210;Support moteur S12;GROUPE VALTEC;3240;0;23/02/2026;26/02/2026;;;Planifié;Normale
OF251001;LC-03 Conditionnement;ART-62600;Kit conditionné K6;SIDER INDUSTRIE;7560;0;23/02/2026;27/02/2026;;;Planifié;Haute
OF251008;LA-01 Assemblage;ART-40120;Carter aluminium A20;MECAPLUS;7200;0;24/02/2026;25/02/2026;;;Planifié;Urgente
OF251015;LU-02 Usinage;ART-51810;Support moteur S18;ATLANTIQUE EQUIP.;4050;0;25/02/2026;27/02/2026;;;Planifié;Normale
OF251022;LC-03 Conditionnement;ART-62400;Kit conditionné K4;TECHNOFORGE;13200;0;26/02/2026;02/03/2026;;;Planifié;Normale
OF251029;LA-01 Assemblage;ART-40130;Carter aluminium A30;AUTOMOTIVE SA;8250;0;27/02/2026;03/03/2026;;;Planifié;Normale
OF251036;LU-02 Usinage;ART-51210;Support moteur S12;NORDIC MACHINES;6480;0;02/03/2026;03/03/2026;;;Planifié;Haute
OF251043;LC-03 Conditionnement;ART-62600;Kit conditionné K6;GROUPE VALTEC;14040;0;02/03/2026;04/03/2026;;;Planifié;Urgente
OF251050;LA-01 Assemblage;ART-40120;Carter aluminium A20;SIDER INDUSTRIE;3600;0;03/03/2026;06/03/2026;;;Planifié;Normale
OF251057;LU-02 Usinage;ART-51810;Support moteur S18;MECAPLUS;2250;0;04/03/2026;09/03/2026;;;Planifié;Normale
OF251064;LC-03 Conditionnement;ART-62400;Kit conditionné K4;ATLANTIQUE EQUIP.;7920;0;05/03/2026;06/03/2026;;;Planifié;Normale
OF251071;LA-01 Assemblage;ART-40130;Carter aluminium A30;TECHNOFORGE;5250;0;06/03/2026;09/03/2026;;;Planifié;Haute
OF251078;LU-02 Usinage;ART-51210;Support moteur S12;AUTOMOTIVE SA;4320;0;09/03/2026;12/03/2026;;;Planifié;Urgente
